

           BASED ON NAD83 (June90 or NMIP94) DATUM           AUG. 6, 1997
         -------------------------------------------
       -  all co-ordinates are in UTM zone 14 unless otherwise stated.
       -  all co-ordinates are NAD83 (June90) unless otherwise stated.
                                                       UTM CO-ORDINATES
       STATION    LOCATION         ZONE  NAD83      EASTING        NORTHING
       -------    ----------       ----  ------    ----------     -----------
       7000001      WPG             14   JUNE90    622159.993     5526166.438
       7000002      WPG             14   JUNE90    622179.003     5526141.250
       7000003      WPG             14   JUNE90    622164.830     5525813.859
       7000005      WPG             14   JUNE90    622140.930     5525794.719
       7000006      WPG             14   JUNE90    622228.915     5525810.980
       7000010      WPG             14   JUNE90    622154.310     5525568.239
       7000012      WPG             14   JUNE90    622236.439     5525564.769
       7000013      WPG             14   JUNE90    622224.320     5525281.228
       7000014      WPG             14   JUNE90    622142.155     5525284.757
       7000016      WPG             14   JUNE90    622195.087     5525081.376
       7000020      WPG             14   JUNE90    622544.431     5525074.778
       7000021      WPG             14   JUNE90    622548.135     5525162.550
       7000023      WPG             14   JUNE90    622557.528     5525386.395
       7000024      WPG             14   JUNE90    622345.985     5525377.218
       7000026      WPG             14   JUNE90    622583.486     5525570.039
       7000027      WPG             14   JUNE90    622584.259     5525588.359
       7000029      WPG             14   JUNE90    622788.860     5525147.878
       7000030      WPG             14   JUNE90    622761.695     5525080.964
       7000032      WPG             14   JUNE90    622766.739     5525200.611
       7000034      WPG             14   JUNE90    622800.252     5525418.935
       7000037      WPG             14   JUNE90    622778.692     5525522.133
       7000038      WPG             14   JUNE90    622777.204     5525598.400
       7000039      WPG             14   JUNE90    622768.752     5525614.546
       7000040      WPG             14   JUNE90    622755.666     5525587.192
       7000041      WPG             14   JUNE90    622763.602     5525571.855
       7000043      WPG             14   JUNE90    622700.688     5525692.440
       7000045      WPG             14   JUNE90    622569.123     5525662.030
       7000055      WPG             14   JUNE90    622574.464     5526079.971
       7000057      WPG             14   JUNE90    622551.546     5526056.541
       7000058      WPG             14   JUNE90    622511.142     5526066.398
       7000060      WPG             14   JUNE90    621055.466     5525432.032
       7000061      WPG             14   JUNE90    621127.174     5525446.520
       7000062      WPG             14   JUNE90    621122.625     5525468.826
       7000063      WPG             14   JUNE90    621142.827     5525461.056
       7000064      WPG             14   JUNE90    620835.889     5525702.042
       7000065      WPG             14   JUNE90    620832.616     5525629.001
       7000066      WPG             14   JUNE90    620952.402     5525538.502
       7000067      WPG             14   JUNE90    620908.834     5525487.654
       7000068      WPG             14   JUNE90    620953.974     5525411.590
       7000069      WPG             14   JUNE90    620728.384     5525530.023
       7000070      WPG             14   JUNE90    620732.255     5525615.247
       7000071      WPG             14   JUNE90    620721.737     5525380.773
       7000072      WPG             14   JUNE90    620595.681     5525334.618
       7000073      WPG             14   JUNE90    621337.541     5525019.239
       7000074      WPG             14   JUNE90    621470.021     5524991.844
       7000075      WPG             14   JUNE90    621609.720     5524985.653
       7000076      WPG             14   JUNE90    621597.205     5524701.384
       7000077      WPG             14   JUNE90    621729.370     5524791.596
       7000078      WPG             14   JUNE90    621954.229     5524734.301
       7000079      WPG             14   JUNE90    621953.428     5524713.788
       7000080      WPG             14   JUNE90    621959.792     5524880.007
       7000081      WPG             14   JUNE90    621949.481     5524610.173
       7000082      WPG             14   JUNE90    621949.103     5524581.911
       7000083      WPG             14   JUNE90    622578.240     5526168.250
       7000084      WPG             14   JUNE90    622570.618     5525988.796
       7000085      WPG             14   JUNE90    622594.926     5525987.778
       7000086      WPG             14   JUNE90    622702.429     5525884.789
       7000087      WPG             14   JUNE90    622727.317     5526042.415
       7000089      WPG             14   JUNE90    622868.802     5525883.803
       7000090      WPG             14   JUNE90    622953.163     5525858.482
       7000091      WPG             14   JUNE90    621387.243     5524727.515
       7000092      WPG             14   JUNE90    622249.287     5524537.004
       7000093      WPG             14   JUNE90    622412.319     5524773.276
       7000094      WPG             14   JUNE90    622430.605     5524772.602
       7000095      WPG             14   JUNE90    622494.541     5524770.202
       7000097      WPG             14   JUNE90    622409.828     5524705.710
       7000098      WPG             14   JUNE90    622320.744     5524606.598
       7000099      WPG             14   JUNE90    623303.586     5525640.107
       7000100      WPG             14   JUNE90    623248.488     5525701.359
       7000101      WPG             14   JUNE90    622984.477     5526100.942
       7000102      WPG             14   JUNE90    623051.788     5526103.546
       7000103      WPG             14   JUNE90    623129.608     5525826.898
       7000105      WPG             14   JUNE90    623178.986     5526028.330
       7000106      WPG             14   JUNE90    623254.692     5526072.060
       7000107      WPG             14   JUNE90    623246.654     5526089.343
